Title,Publisher,Link,DiscountPCT,OriginalPrice,DiscountPrice,Discount_Endtime,Rating,Rating_count,Genre,ReleaseDate
"Suicide Squad: Kill the Justice League - Digital Deluxe Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",Warner Bros. Interactive,https://store.playstation.com/en-hk/product/UP1018-PPSA02182_00-SSKTJLDELUXE0000,40%,HK$780.00,HK$468.00,13/3/2024 02:59 PM UTC,4.31,8.6k,Shooter,29/1/2024
Horizon Forbidden West™: Burning Shores (English/Chinese/Korean Ver.),Sony Interactive Entertainment,https://store.playstation.com/en-hk/product/EP9000-PPSA01521_00-BURNINGSHORESPS5,35%,HK$148.00,HK$96.20,20/3/2024 03:59 PM UTC,4.55,29,Action,18/4/2023
"Horizon Forbidden West™ Complete Edition (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)",Sony Interactive Entertainment,https://store.playstation.com/en-hk/product/EP9000-PPSA17903_00-HFWCE00000000000,34%,HK$468.00,HK$308.88,20/3/2024 03:59 PM UTC,4.64,32k,Action,5/10/2023
"UNCHARTED: Legacy of Thieves Collection (Simplified Chinese, English, Korean, Traditional Chinese)",Sony Interactive Entertainment,https://store.playstation.com/en-hk/product/HP9000-PPSA05686_00-UNCHARTED4R00000,60%,HK$398.00,HK$159.20,20/3/2024 03:59 PM UTC,4.74,179k,"Action, Adventure",27/1/2022
"Marvel's Spider-Man: Miles Morales Ultimate Edition (Simplified Chinese, English, Korean, Traditional Chinese)",Sony Interactive Entertainment,https://store.playstation.com/en-hk/product/HP9000-PPSA01419_00-MARVELSSMMDDE000,43%,HK$568.00,HK$323.76,20/3/2024 03:59 PM UTC,4.58,102k,Action,11/11/2020
"NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Sound Ultimate Edition PS4™ & PS5® (Simplified Chinese, Korean, Traditional Chinese)",Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-PPSA06979_00-NARUTOUNSAULT000,30%,HK$839.00,HK$587.30,20/3/2024 03:59 PM UTC,3.73,3.3k,"Action, Fighting, Adventure",15/11/2023
Bloodborne™ The Old Hunters Edition (English/Chinese/Korean Ver.),Sony Interactive Entertainment,https://store.playstation.com/en-hk/product/HP9000-CUSA03023_00-BLOODBORNE0000AS,50%,HK$268.00,HK$134.00,20/3/2024 03:59 PM UTC,4.73,219k,"Action, Role Playing Games",24/11/2015
"Metro Exodus: Gold Edition (Simplified Chinese, English, Korean, Traditional Chinese)",Deep Silver,https://store.playstation.com/en-hk/product/UP2047-PPSA02395_00-821MEEGOLDEDGEN9,85%,HK$308.00,HK$46.20,20/3/2024 03:59 PM UTC,4.53,43k,"Action, Adventure, Shooter",18/6/2021
Metro Exodus - Expansion Pass (Add-On),Deep Silver,https://store.playstation.com/en-hk/product/UP2047-PPSA02395_00-METROEXODUSEPGN9,80%,HK$108.00,HK$21.60,20/3/2024 03:59 PM UTC,0,No,"Action, Adventure, Shooter",18/6/2021
"STRANGER OF PARADISE FINAL FANTASY ORIGIN Digital Deluxe Edition PS4 & PS5 (English, Japanese)","KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/JP0082-PPSA03231_00-SOPFFORIGINDDE00,40%,HK$500.00,HK$300.00,20/3/2024 03:59 PM UTC,4,3.6k,Action,14/3/2022
"STRANGER OF PARADISE FINAL FANTASY ORIGIN Digital Deluxe Edition PS4 & PS5 (Simplified Chinese, Korean, Traditional Chinese)","KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-PPSA03908_00-SOPFFORIGINDDE00,40%,HK$500.00,HK$300.00,20/3/2024 03:59 PM UTC,4,3.6k,Action,14/3/2022
"STRANGER OF PARADISE FINAL FANTASY ORIGIN PS4 & PS5 (English, Japanese)","KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/JP0082-PPSA03231_00-SOPFFORIGIN00000,40%,HK$314.00,HK$188.40,20/3/2024 03:59 PM UTC,4,3.6k,Action,14/3/2022
"STRANGER OF PARADISE FINAL FANTASY ORIGIN PS4 & PS5 (Simplified Chinese, Korean, Traditional Chinese)","KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-PPSA03908_00-SOPFFORIGIN00000,40%,HK$314.00,HK$188.40,20/3/2024 03:59 PM UTC,4,3.6k,Action,14/3/2022
"STRANGER OF PARADISE FINAL FANTASY ORIGIN Digital Deluxe Upgrade (English, Japanese)","KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/JP0082-PPSA03231_00-SOPFFODDU0000000,Trial,HK$186.00,HK$111.60,20/3/2024 03:59 PM UTC,4,3.6k,Action,17/3/2022
"STRANGER OF PARADISE FINAL FANTASY ORIGIN Digital Deluxe Upgrade (Simplified Chinese, Korean, Traditional Chinese)","KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-PPSA03908_00-SOPFFODDU0000000,Trial,HK$186.00,HK$111.60,20/3/2024 03:59 PM UTC,4,3.6k,Action,17/3/2022
Season Pass: STRANGER OF PARADISE FINAL FANTASY ORIGIN (English/Japanese Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/JP0082-PPSA03231_00-SOPFFOSEASONPASS,40%,HK$150.00,HK$90.00,20/3/2024 03:59 PM UTC,0,No,Action,19/7/2022
Season Pass: STRANGER OF PARADISE FINAL FANTASY ORIGIN (Chinese/Korean Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-PPSA03908_00-SOPFFOSEASONPASS,40%,HK$150.00,HK$90.00,20/3/2024 03:59 PM UTC,0,No,Action,19/7/2022
"Diablo® Prime Evil Collection (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Blizzard Entertainment, Inc.",https://store.playstation.com/en-hk/product/UP0002-PPSA02443_00-DIABLOPRIMEEVIL0,67%,HK$469.00,HK$154.77,20/3/2024 03:59 PM UTC,3.62,14k,"Action, Adventure, Role Playing Games",22/9/2021
"Diablo® II: Resurrected™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Blizzard Entertainment, Inc.",https://store.playstation.com/en-hk/product/UP0002-PPSA02443_00-D2RESURRECTED000,67%,HK$311.00,HK$102.63,20/3/2024 03:59 PM UTC,3.62,14k,"Action, Adventure, Role Playing Games",22/9/2021
"Overcooked! 2 - Gourmet Edition (Simplified Chinese, English, Korean, Japanese)",Team17 Digital Ltd,https://store.playstation.com/en-hk/product/EP4064-CUSA10870_00-ASIA000000000008,75%,HK$354.00,HK$88.50,20/3/2024 03:59 PM UTC,4.5,9.3k,"Action, Casual, Family",8/4/2020
Overcooked! 2 - Season Pass (English/Chinese/Korean/Japanese Ver.),Team17 Digital Ltd,https://store.playstation.com/en-hk/product/EP4064-CUSA10870_00-ASIA000000000005,60%,HK$157.00,HK$62.80,20/3/2024 03:59 PM UTC,3.79,150,Family,19/4/2019
